lastname,firstname,specialty,hospitalname,phone,address,address2,city,state,zipcode,county,acceptingnewpatients,languages,gender,board_certification,hospital_affiliation,ipa,health_plan_benefit_name_accepted
VALLEYWISE COMM HLTH CTR MARYVALE,,HOSPITAL,VALLEYWISE HEALTH,(623) 344-6900,4011 N 51ST AVE,,PHOENIX,AZ,85031,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE COMM HLTH CTR MESA,,HOSPITAL,VALLEYWISE HEALTH,(480) 344-6200,59 S HIBBERT,,MESA,AZ,85210,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
ST LUKES BEHAVIORAL HEALTH CENTER,,HOSPITAL,ST LUKE'S BEHAVIORAL HEALTH CENTER,(602) 251-8535,1800 E VAN BUREN,,PHOENIX,AZ,85006,MARICOPA,YES,ENGLISH,,NO,,STEWARD HEALTH CARE NETWORK,
ABRAZO SCOTTSDALE CAMPUS,,HOSPITAL,ABRAZO SCOTTSDALE CAMPUS,(602) 923-5000,3929 E BELL RD,,PHOENIX,AZ,85032,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
ABRAZO ARROWHEAD CAMPUS,,HOSPITAL,ABRAZO ARROWHEAD CAMPUS,(602) 532-1000,1930 E THOMAS RD,,PHOENIX,AZ,85016,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
ABRAZO ARROWHEAD CAMPUS,,HOSPITAL,ABRAZO ARROWHEAD CAMPUS,(623) 561-7102,18701 N 67TH AVE,,GLENDALE,AZ,85308,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE COMM HLTH CTR S CENTRAL,,HOSPITAL,VALLEYWISE HEALTH,(602) 344-6600,33 W TAMARISK ST,,PHOENIX,AZ,85041,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
HONORHEALTH SCOTTSDALE SHEA,,HOSPITAL,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,(480) 323-3000,10200 N 92ND ST,,SCOTTSDALE,AZ,85258,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
HONORHEALTH SCOTTSDALE SHEA,,HOSPITAL,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,(480) 323-3670,13843 N TATUM BLVD,STE 1A,PHOENIX,AZ,85032,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
HONORHEALTH SCOTTSDALE SHEA,,HOSPITAL,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,(480) 323-3000,9201 E MOUNTAIN VIEW RD,,SCOTTSDALE,AZ,85258,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
HONORHEALTH SCOTTSDALE SHEA,,HOSPITAL,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,(480) 323-3000,10460 N 92ND ST,,SCOTTSDALE,AZ,85258,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
HONORHEALTH SCOTTSDALE SHEA,,HOSPITAL,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,(480) 534-4530,5316 E SHEA BLVD,STE 150,SCOTTSDALE,AZ,85254,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
HONORHEALTH SCOTTSDALE SHEA,,HOSPITAL,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,(480) 583-4000,10200 N 92ND ST,STE 140,SCOTTSDALE,AZ,85258,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
HONORHEALTH SCOTTSDALE SHEA,,HOSPITAL,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,(480) 323-4921,10250 N 92ND ST,STE 303,SCOTTSDALE,AZ,85258,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
HONORHEALTH SCOTTSDALE SHEA,,HOSPITAL,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,(480) 882-4934,18404 N TATUM BLVD,STE 200,PHOENIX,AZ,85032,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
HONORHEALTH SCOTTSDALE SHEA,,HOSPITAL,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,(480) 656-8808,8630 E VIA DE VENTURA,STE 101,SCOTTSDALE,AZ,85258,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
HONORHEALTH SCOTTSDALE SHEA,,HOSPITAL,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,(480) 323-3000,9003 E SHEA BLVD,,SCOTTSDALE,AZ,85260,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
ARIZONA SPINE AND JOINT HOSPITAL LLC,,HOSPITAL,ARIZONA SPINE AND JOINT HOSPITAL LLC,(480) 824-1226,4620 E BASELINE RD,,MESA,AZ,85206,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE COMM HLTH CTR CHANDLER,,HOSPITAL,VALLEYWISE HEALTH,(480) 344-6100,811 S HAMILTON ST,,CHANDLER,AZ,85225,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
CARONDELET ST MARY'S HOSPITAL,,HOSPITAL,CARONDELET ST MARYS HOSPITAL,(520) 872-3000,1601 W ST MARYS RD,,TUCSON,AZ,85745,PIMA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
ABRAZO CENTRAL CAMPUS,,HOSPITAL,ABRAZO CENTRAL CAMPUS,(602) 249-0212,2000 W BETHANY HOME RD,,PHOENIX,AZ,85015,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
HONORHEALTH,,HOSPITAL,HONORHEALTH,(520) 868-3333,4545 N HUNT HWY,,FLORENCE,AZ,85132,PINAL,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
HONORHEALTH SONORAN MEDICAL CENTER,,HOSPITAL,HONORHEALTH,(623) 780-4673,33423 N 32ND AVE,,PHOENIX,AZ,85085,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
CARONDELET ST JOSEPH'S HOSP,,HOSPITAL,CARONDELET ST JOSEPHS HOSPITAL,(520) 873-3000,350 N WILMOT,,TUCSON,AZ,85711,PIMA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
PAGE HOSPITAL,,HOSPITAL,PAGE HOSPITAL,(928) 645-2424,501 N NAVAJO,,PAGE,AZ,86040,COCONINO,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
MOUNTAIN VISTA MEDICAL FLORENCE HOSPITAL,,HOSPITAL,FLORENCE HOSPITAL A CAMPUS OF MOUNTAIN VISTA MEDICAL CENTER,(520) 868-3333,4545 N HUNT HWY,,FLORENCE,AZ,85132,PINAL,YES,ENGLISH,,NO,,STEWARD HEALTH CARE NETWORK,
VALLEYWISE COMM HLTH CTR MCDOWELL,,HOSPITAL,VALLEYWISE HEALTH,(602) 344-6550,1101 N CENTRAL AVE,2ND FLOOR,PHOENIX,AZ,85004,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
CARONDELET HOLY CROSS HOSP,,HOSPITAL,CARONDELET HOLY CROSS HOSPITAL,(520) 285-3000,1171 W TARGET RANGE RD,,NOGALES,AZ,85621,SANTA CRUZ,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
ABRAZO CENTRAL CAMPUS ACUTE REHAB,,HOSPITAL,ABRAZO CENTRAL CAMPUS,(602) 246-5314,2000 W BETHANY HOME RD,,PHOENIX,AZ,85015,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
CHANDLER REGIONAL MEDICAL CENTER,,HOSPITAL,DIGNITY COMMUNITY CARE,(480) 963-4561,475 S DOBSON RD,,CHANDLER,AZ,85224,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
CHANDLER REGIONAL MEDICAL CENTER,,HOSPITAL,DIGNITY COMMUNITY CARE,(877) 877-8345,20750 N JOHN WAYNE PKWY,,MARICOPA,AZ,85139,PINAL,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
PHOENIX CHILDREN'S HOSPITAL,,HOSPITAL,PHOENIX CHILDRENS HOSPITAL,(602) 933-1000,1919 E THOMAS RD,,PHOENIX,AZ,85016,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
FLAGSTAFF MEDICAL CENTER,,HOSPITAL,GUARDIAN AIR TRANSPORT,(928) 779-3366,1200 N BEAVER ST,,FLAGSTAFF,AZ,86001,COCONINO,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
ABRAZO PEORIA EMERGENCY CTR,,HOSPITAL,ABRAZO PEORIA EMERGENCY CENTER,(623) 561-2022,26900 NORTH LAKE PLEASANT PKWY,,PEORIA,AZ,85383,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
WICKENBURG COMMUNITY HOSPITAL,,HOSPITAL,WICKENBURG COMMUNITY HOSPITAL,(928) 666-1197,520 ROSE LN,,WICKENBURG,AZ,85390,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE COMM HLTH CTR GUADALUPE,,HOSPITAL,VALLEYWISE HEALTH,(480) 344-6000,5825 E CALLE GUADALUPE,,TEMPE,AZ,85283,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE COMM HLTH CTR S PHOENIX,,HOSPITAL,VALLEYWISE HEALTH,(602) 344-6400,5650 S 35TH AVE,,PHOENIX,AZ,85041,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
MOUNTAIN VISTA MEDICAL CENTER LP - PSYCH,,HOSPITAL,MOUNTAIN VISTA MEDICAL CENTER,(480) 358-6100,1301 SOUTH CRIMSON,,MESA,AZ,85209,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
THE CORE INSTITUTE SPECIALTY HOSPITAL,,HOSPITAL,THE CORE INSTITUTE,(602) 795-6020,6501 N 19TH AVE,,PHOENIX,AZ,85015,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
YAVAPAI REGIONAL MEDICAL CENTER,,HOSPITAL,DIGNITY HEALTH YAVAPAI REGIONAL MEDICAL CENTER,(928) 445-2700,1003 WILLOW CREEK RD,,PRESCOTT,AZ,86301,YAVAPAI,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
YAVAPAI REGIONAL MEDICAL CENTER,,HOSPITAL,DIGNITY HEALTH YAVAPAI REGIONAL MEDICAL CENTER,(928) 445-2700,7700 E FLORENTINE RD,,PRESCOTT VALLEY,AZ,86314,YAVAPAI,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
PAGE HOSPITAL,,HOSPITAL,PAGE HOSPITAL,(928) 645-2424,501 N NAVAJO,,PAGE,AZ,86040,COCONINO,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE COMP HLTH CTR PEORIA,,HOSPITAL,VALLEYWISE HEALTH,(833) 855-9973,8088 W WHITNEY DR,,PEORIA,AZ,85345,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
VALLEYWISE COMM HLTH CTR AVONDALE,,HOSPITAL,VALLEYWISE HEALTH,(623) 344-6800,950 E VAN BUREN ST,,AVONDALE,AZ,85323,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
DIGNITY HEALTH - ST JOSEPH'S HOSPITAL,,HOSPITAL,DIGNITY HEALTH,(602) 406-3000,350 W THOMAS RD,,PHOENIX,AZ,85013,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
DIGNITY HLTH,,HOSPITAL,DIGNITY HEALTH,(602) 406-3000,7300 N 99TH AVE,,GLENDALE,AZ,85307,MARICOPA,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
YAVAPAI REGIONAL MED CTR-PENDLETON CTR,,HOSPITAL,COMMUNITY HEALTH CENTER OF YAVAPAI,(928) 445-2700,1112 IRON SPRINGS RD,,PRESCOTT,AZ,86305,YAVAPAI,YES,ENGLISH,,NO,,EXCHANGE ARIZONA,
